Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,Month,Year,TimePeriod,Location_encoded,Operator_encoded,AC Type_encoded,Route_encoded,Fatality Rate,Survival Rate,Season
Ecuador,TAME Ecuador,Unknown,Lago Agrio - Quito,Lockheed L-188A Electra,HC-AZY,1052,7.0,1.0,6.0,7.0,1.0,6.0,0.0,The positioning flight took off with one bad engine. Another engine failed and the plane crashed and burst into flames.,9,1988,Afternoon,158,1880,1776,1798,1.0,0.0,Fall
Ethiopia,Ethiopian Airlines,604,Bahar Dar - Asmara,Boeing B-737-230,ET-AJA,23914/1456,104.0,98.0,6.0,35.0,35.0,0.0,0.0,"During takeoff, the aircraft ingested numerous pigeons into both engines. One engine lost thrust almost immediately and the second lost thrust during the emergency return to the airport. The aircraft crashed while trying to land. Engine failure due to ingestion of 10-16 Columba Guinea birds.",9,1988,Afternoon,167,787,539,302,0.33653846153846156,0.6634615384615384,Fall
Pakistan,Military - Afghan,Unknown,Unknown,Antonov AN-26,Unknown,,34.0,,,34.0,,,0.0,Accidentally shot down by Pakistani anti-aircraft fire after straying out of Afghan air space.,9,1988,Night,400,1231,160,3613,1.0,0.0,Fall
Brazil,Aramar,Unknown,Unknown,Beech King Air F90,PT-LJR,LA-093,8.0,7.0,1.0,8.0,7.0,1.0,0.0,,10,1988,Unknown,90,383,282,3613,1.0,0.0,Fall
Russia,Aeroflot,Unknown,Tikis - Batagay,Antonov 12BP,CCCP-11418,401712,6.0,0.0,6.0,6.0,0.0,6.0,0.0,"The cargo flight crew decided on a visual approach, ignored the GPWS warning and flew into a mountain.",10,1988,Night,428,90,121,3496,1.0,0.0,Fall
China,Shanxi Airlines,Unknown,Sightseeing,Ilyushin IL-14P,B-4218,6341406,48.0,44.0,4.0,44.0,40.0,4.0,2.0,The sightseeing  plane crashed into a hotel shortly after takeoff. The left engine had failed following a fatigue fracture in the engine's oil pump drive shaft.,10,1988,Afternoon,118,1744,1534,3246,0.9166666666666666,0.08333333333333337,Fall
Michigan,Military - US,Unknown,Sawyer AFB - Wurtsmith AFB,Boeing KC-135A,60-0317,18092/431,17.0,0.0,17.0,6.0,0.0,6.0,0.0,Crashed after returning from Sawyer AFB in Michigan.,10,1988,Afternoon,285,1331,638,3175,0.35294117647058826,0.6470588235294117,Fall
Italy,Uganda Airlines,775,London - Rome,Boeing B-707-338C,5X-UBC,19630/746,52.0,45.0,7.0,33.0,26.0,7.0,0.0,"Undershot runway and hit  a building while performing a third landing attempt in fog. The crew's lack of adequate preparation in the procedure for a non-precision approach, especially in crew coordination, altitude callouts and their continued descent beyond MDA without having located the runway visual markings. Crew fatigue.",10,1988,Overnight,233,2025,468,1933,0.6346153846153846,0.3653846153846154,Fall
India,Indian Airlines,113,Bombay - Ahmadabad,Boeing B-737-2A8,VT-EAH,20481/271,129.0,124.0,5.0,124.0,119.0,5.0,0.0,"The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames. Error on the part of pilot-in-command as well as co-pilot due to non adherence to procedures under poor visibility conditions.",10,1988,Morning,220,972,553,537,0.9612403100775194,0.03875968992248058,Fall
India,Vayudoot,Unknown,Silchar - Gauhati,Fokker F-27 Friendship 100,VT-DMC,10173,34.0,31.0,3.0,34.0,31.0,3.0,0.0,Crashed short of the runway. Controlled flight into terrain.,10,1988,Morning,220,2075,1342,3251,1.0,0.0,Fall
Peru,Aero Peru,Unknown,Juliaca - Arequipa,Fokker F-28 Fellowship 1000,OB-R-1020,11059,69.0,65.0,4.0,12.0,11.0,1.0,0.0,Crashed shortly after taking off from Manco Capac airport at Juliaca. The pilot tried to return to the runway but crashed in a high nose-up attitude into a pasture. The plane broke in two and burst into flames.,10,1988,Morning,408,67,1352,1560,0.17391304347826086,0.8260869565217391,Fall
Poland,LOT Polish Airlines,703,Warszawa - Rzeszow,Antonov AN-24B,SP-LTD,67302209,29.0,25.0,4.0,1.0,1.0,0.0,0.0,"The plane attempted to make an emergency landing due to engine failure, struck a ditch and caught fire.",11,1988,Unknown,414,1085,155,3711,0.034482758620689655,0.9655172413793104,Fall
Finland,Wasa Wings,Unknown,Helsink - Ilmajoki,Embraer 110P1 Bandeirante,OH-EBA,110226,12.0,10.0,2.0,6.0,4.0,2.0,0.0,"The aircraft struck trees 2,400 feet next to the runway while approaching in deteriorating weather conditions. A power failure caused all light to go out at the airport.",11,1988,Morning,170,2099,1233,1380,0.5,0.5,Fall
France,Air Littoral,440,Montluçon - Paris,Swearingen SA-226TC Metro II,F-GCPG,TC-334E,4.0,2.0,2.0,4.0,2.0,2.0,0.0,While taking off the nose pitched down the plane descended and crashed to the ground and caught fire. Inadvertent activation of the Stall Avoidance System resulting in the stick pusher activation at a crucial altitude.,11,1988,Morning,173,218,2171,2306,1.0,0.0,Fall
Libya,Aero Club Libya,Unknown,Hamada al Hambra - Tripoli,de Havilland Canada DHC-6 Twin Otter 300,5A-DDD,670,14.0,12.0,2.0,14.0,12.0,2.0,0.0,While attempting to land in mist and poor visibility the aircraft hit a  pylon and burned. VFR flight in IMC,11,1988,Morning,259,55,2385,1346,1.0,0.0,Fall
Russia,Aeroflot,Unknown,	Krasnoyarsk - Kodinsk,Let 410UVP,CCCP-67127,790323,14.0,12.0,2.0,6.0,4.0,2.0,0.0,The aircraft struck the ground while the crew was in the base leg turn. Crew procedural errors. The radio altimeter warning was not set and the outer marker was not used during the approach.,12,1988,Night,428,90,1634,16,0.42857142857142855,0.5714285714285714,Winter
Mauritania,T & G Aviation,Unknown,Dakar - Agadir,Douglas DC-7CF,N284,45203/776,5.0,0.0,5.0,5.0,0.0,5.0,0.0,Accidently struck by a surface-to-air missile by the Polisario.,12,1988,Unknown,281,1860,1202,999,1.0,0.0,Winter
Afghanistan,Military - Afghan,Unknown,Kabul - Khost,Antonov AN-32,Unknown,,25.0,,,25.0,,,0.0,Shot down by a Pakistani jet fighter while en route.,12,1988,Night,33,1231,169,1569,1.0,0.0,Winter
USSR,Military - Russian,Unknown,Unknown,Ilyushin IL-76 / Mi-8 (helicopter),CCCP-86732,083413388,83.0,74.0,9.0,77.0,68.0,9.0,0.0,A midair collision occurred between a soviet transport on an earthquake relief mission and a military Mi-8 helicopter.  As the transport approached for a landing in the darkness it struck the helicocopter.  Seventy-seven of 78 aboard the transport were killed. All five aboard the Mi-8 survived. The crew had used an incorrect altimeter setting.,12,1988,Unknown,506,1315,1549,3613,0.927710843373494,0.07228915662650603,Winter
Egypt,GAS Air,Unknown,Dar-es-Salaam - Cairo,Boeing B-707-321C,5N-AYJ,19168/508,8.0,5.0,3.0,8.0,5.0,3.0,5.0,After 2 missed approaches at Cairo the plane diverted to Luxor but crashed into a residential neighborhood while attempting to land. Forced landing. Fuel exhaustion.,12,1988,Night,159,863,459,1022,1.0,0.0,Winter
Scotland,Pan American World Airways,103,London - New York City,Boeing B-747-121A,N739PA,19646/15,259.0,243.0,16.0,259.0,243.0,16.0,11.0,"The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named ""Clipper Maid of the Seas.""",12,1988,Night,441,1495,591,1926,1.0,0.0,Winter
England,British Midland Airways,92,London - Belfast,Boeing B-737-4Y0,G-OBME,23867/1603,126.0,118.0,8.0,47.0,47.0,0.0,0.0,"While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach.",1,1989,Night,162,527,578,1906,0.373015873015873,0.626984126984127,Winter
Texas,Military - US,Unknown,Dyess AFB - Hawaii,Boeing KC-135A,63-7990,18607/646,19.0,12.0,7.0,19.0,12.0,7.0,0.0,Crashed in flames after taking off from Dyess Air Force Base. Failure of the water injection system during takeoff.,1,1989,Afternoon,492,1331,638,1113,1.0,0.0,Winter
Myanmar,Burma Airways,Unknown,Rangoon - Kentung,Fokker F-27 Friendship 600,XY-AEK,10325,29.0,25.0,4.0,26.0,23.0,3.0,0.0,The aircraft entered a fog bank after taking off from Rangoon and hit a tree and caught fire.,2,1989,Morning,301,540,1349,2889,0.896551724137931,0.10344827586206895,Winter
France,RAM,3132,Marseille - Paris,Vickers 952F Vanguard,F-GEJE,730,3.0,0.0,3.0,3.0,0.0,3.0,0.0,After a second takeoff attempt the cargo plane banked to the right until it crashed into the water.,2,1989,Night,173,1597,2272,2121,1.0,0.0,Winter
Portugal,Independent Air Inc.,1851,Bergamo - Orio al Serio - Santa Maria,Boeing B-707-331B,N7231T,19572/687,144.0,137.0,7.0,144.0,137.0,7.0,0.0,"The airliner hit a mountain while attempting to land at Santa Maria. The crew mistakenly continued to descend through 3,000 ft. which it was cleared to. Because of a overlap in communications, the tower did not notice the mistake. The aircraft continued to descend and did not comment or react to warnings from the GPSW for 7 seconds. The aircraft then hit Pico Alto mountain at an altitude of 2,000 ft.  Procedural errors by the flight crew and ATC. Descent of the aircraft below minimum sector altitude. Transmission from the tower of a QNH value higher than the actual value.",2,1989,Afternoon,415,969,467,441,1.0,0.0,Winter
Malaysia,Flying Tiger Line,66,Singapore - Kuala Lumpur,Boeing 747-249F,N807FT,21828/408,4.0,0.0,4.0,4.0,0.0,4.0,0.0,"The cargo plane descended below minimums and impacted trees and a hill. Non-standard phraseology used by Kuala Lumpur ATC, causing the crew to misinterpret the instructions.",2,1989,Morning,268,835,422,3258,1.0,0.0,Winter
Hawaii,United Air Lines,811,Los Angeles - Honolulu - Auckland - Sydney,Boeing B-747-122,N4713U,19875/89,356.0,338.0,18.0,9.0,9.0,0.0,0.0,"After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched forward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff. As a failsafe, the latches should have been blocked from moving by a mechanism called a ""locking sector"" (one on each latch), engaged manually by a lever after the door is closed.  However, the locking sectors as designed were not strong enough and could be overcome by the motors which was a design flaw right from the introduction of the747.  This was finally recognized as serious, after a non-fatal failure in 1987, but installing stronger locking sectors required taking each plane out of service 10 hours, and the FAA had allowed airlines 18 months so they could do it during other maintenance procedures.",2,1989,Overnight,209,2038,592,1958,0.025280898876404494,0.9747191011235955,Winter
Canada,Transfair,Unknown,La Grande - Lac Bienville,Douglas C-47A,C-FBZN,25290,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The cargo plane crashed after its initial climb. Icing.,2,1989,Morning,106,1969,1036,1781,1.0,0.0,Winter
Peru,Aero Condor,Unknown,Sightseeing,Britten Norman BN-2A Trislander,OB-T-1271,0604,10.0,9.0,1.0,10.0,9.0,1.0,0.0,Crashed after striking radio tower while on approach.,3,1989,Unknown,408,56,701,3246,1.0,0.0,Spring
Canada,Air Ontario,1363,Dryden - Winnipeg,Fokker F-28 Fellowship 1000,C-FONF,11060,69.0,65.0,4.0,24.0,21.0,3.0,0.0,"While flying from Thunder Bay, Ontario to Winnipeg, Manitoba, the plane crashed on take-off from Dryden, Ontario. The aircraft failed to gain altitude, settled back down on the runway and then took off for a second time clipping the tops of  trees, causing debris to clog the engines leading to the plane crashing. The aircraft was being refueled with one engine running because of an unserviceable APU. Since no external power unit was available at the airport the engine could not be shut down and deicing could not be performed. The captain's decision to take off  in deteriorating weather conditions with an accumulation of snow and ice on the wings.  Decision not to de-ice the plane before taking off. The failure of the Canadian air transport system in placing the crew in a situation where they did not have the resources to make a proper decision.",3,1989,Afternoon,106,238,1352,1096,0.34782608695652173,0.6521739130434783,Spring
Indiana,Mid Pacific Air,Unknown,Terre Haute - Lafayette,NAMC YS-11A-300F,N128MP,2139,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"While landing the cargo plane pitched down and crashed short of the runway. A loss of control due to the improper in-flight decisions by the crew and the undetected accumulation of ice on the leading edge of the horizontal stabilizer, during flight in a forward centre of gravity condition and exacerbated by the extension of full landing flaps.",3,1989,Morning,224,1223,1926,3474,1.0,0.0,Spring
Texas,Evergreen International Airlines,Unknown,"Fort Worth, TX - Oklahoma City, OK",McDonnell Douglas DC-9-33RC,N931F,47192/287,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"The loss of control of the airplane for undetermined reasons following the in-flight opening of the improperly latched cargo door. Contributing to the accident were inadequate procedures used by Evergreen Airlines and approved by the FAA for pre-flight verification of external cargo door lock pin manual control handle, and the failure of McDonnell Douglas to provide flight crew guidance and emergency procedures for an in-flight opening of the cargo door. Also contributing to the accident was the failure of the FAA to mandate modification to the door-open warning system for DC-9 cargo-configured airplanes, given the previously known occurrences of in-flight door openings.",3,1989,Overnight,492,794,1875,1216,1.0,0.0,Spring
South Korea,Military - US,Unknown,Unknown,Sikorsky CH-53D,157140,,34.0,30.0,4.0,19.0,,,0.0,Crashed and burned in mountainous terrain during a troop lift mission. Came in for a landing at an extreme high bank until it crashed to the ground. Pilot error.,3,1989,Morning,461,1331,2083,3613,0.5588235294117647,0.4411764705882353,Spring
Brazil,Transbrasil,Unknown,Manaus - Sao Paulo-Guarulhos,Boeing B-707-349C,PT-TCS,19354/503,3.0,0.0,3.0,3.0,0.0,3.0,18.0,"The plane crashed into houses during a steep approach. Crew error. High speed approach. Deep stall. This was the Boeing 707 used in the movie ""Airport"" in 1970.",3,1989,Morning,90,1966,472,2072,1.0,0.0,Spring
France,Europe Aero Service EAS,602,Paris - Valence,Fairchild FH-227B,F-GGDM,532,22.0,19.0,3.0,22.0,19.0,3.0,0.0,"After being cleared on a heading for Valence, the aircraft continued on its current heading until it struck a mountain at 4,100 feet. Crew error. Navigational error. Controlled flight into terrain.",4,1989,Night,173,791,1300,2703,1.0,0.0,Spring
Colombia,SATENA,Unknown,Cucuta - Arauca,Pilatus PC-6 Turbo Porter,FAC-1110,819,11.0,10.0,1.0,11.0,10.0,1.0,0.0,Crashed while en route.,4,1989,Unknown,121,1665,1959,981,1.0,0.0,Spring
Colombia,Aerosucre Colombia,Unknown,Baranquilla - Bogota,Aérospatiale SE-210 Caravelle,HK-3325X,215,5.0,2.0,3.0,5.0,2.0,3.0,0.0,"The cargo flight suffered the shifting of cargo after takeoff cause the plane to take a nose-high attitude, stall and crash into houses.",4,1989,Unknown,121,135,243,363,1.0,0.0,Spring
Mexico,Aero Cozumel,Unknown,Chichen Itza - Cozumel,Britten Norman BN-2A Trislander II,XA-JPE,1051,19.0,17.0,2.0,6.0,6.0,0.0,0.0,Crashed after the pilot radioed he was making an emergency landing with engine problems.,5,1989,Afternoon,284,57,702,849,0.3157894736842105,0.6842105263157895,Spring
Sweden,Holmstoem Air,Unknown,Stockholm - Oskarshamn,Beechcraft 99,SE-IZO,U048,16.0,14.0,2.0,16.0,14.0,2.0,0.0,"While on approach the plane pitched up, went into a steep dive and crashed short of the runway. Aircraft improperly loaded causing a shift in the center of gravity.",5,1989,Morning,477,949,294,3326,1.0,0.0,Spring
China,Aero Asahi,Unknown,Unknown,Bell 412,JA9596,33070,,,,10.0,,,0.0,,5,1989,Unknown,118,52,334,3613,,,Spring
Surinam,Surinam Airways,764,Paramaribo - Zanderij,McDonnell Douglas DC-8 Super 62,N1809E,46107/498,187.0,178.0,9.0,176.0,167.0,9.0,0.0,"The aircraft hit a tree and crashed during a third landing attempt in fog. The crew descended below the published minimum altitude. Despite concerns about possible landing equipment failures the crew was determined to make a landing and not divert to another airport as they were running out of fuel. They could not get an ILS signal and ignored a Ground Proximity Warning System alarm 60 seconds prior to the crash by turning it off 10 seconds after it started its warning. About 20 members from the Dutch soccer team ""Colorful 11"" from Surinam were killed.",6,1989,Overnight,474,1845,1842,2664,0.9411764705882353,0.05882352941176472,Summer
Colombia,Aerotaca,Unknown,El Yopal - Tame,de Havilland Canada DHC-6 Twin Otter 300,HK-2486,676,22.0,20.0,2.0,6.0,6.0,0.0,0.0,Crashed into a mountain.,6,1989,Morning,121,137,2385,1142,0.2727272727272727,0.7272727272727273,Summer
Germany,Interflug,Unknown,Berlin - Moscow,Ilyushin IL-62MK,DDR-SEW,2850324,113.0,103.0,10.0,20.0,20.0,0.0,1.0,"The pilot aborted the takeoff at liftoff after it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched off the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator.",6,1989,Morning,184,985,1547,451,0.17699115044247787,0.8230088495575221,Summer
Iran,Ariana Afghan Airlines,Unknown,Kabul - Zaranj,Antonov AN-26,YA-BAK,14104,39.0,35.0,4.0,6.0,6.0,0.0,0.0,A ramp door opened in flight causing loss of control of the aircraft. The plane crashed into a hill.,6,1989,Afternoon,228,395,160,1572,0.15384615384615385,0.8461538461538461,Summer
Peru,Fuerza Aérea del Peru,Unknown,San Ramon - Captain Alvarino,de Havilland Canada DHC-5D Buffalo,FAP-329,329,62.0,57.0,5.0,62.0,57.0,5.0,0.0,Crashed into a mountainside in the remote Andean highlands shortly after leaving San Ramon. Overloaded.,6,1989,Afternoon,408,860,2381,3101,1.0,0.0,Summer
Taiwan,Formosa Airlines,Unknown,Kaohsiung - Chi-mei,Cessna 404 Titan Courier II,B-12206,404-0418,13.0,11.0,2.0,12.0,10.0,1.0,0.0,Crashed into houses on takeoff and exploded.,6,1989,Unknown,483,841,827,1601,0.9230769230769231,0.07692307692307687,Summer
 Cameroon,Cameroon Airlines,Unknown,Douala - Yaounde,Hawker Siddeley HS-748-435 Srs. 2,TJ-CCF,1804,47.0,45.0,2.0,3.0,1.0,2.0,0.0,"The plane landed short of the runway on the third landing attempt, overran the runway and collided with an embankment.",6,1989,Night,4,567,1484,1090,0.06382978723404255,0.9361702127659575,Summer
Somalia,Somali Airlines,Unknown,Hargeisa - Mogadishu,Fokker F-27 Friendship 600RF,6O-SAZ,10559,30.0,24.0,6.0,30.0,24.0,6.0,0.0,Crashed after takeoff.  Shot down by a surface-to-air missile.,6,1989,Morning,452,1795,1350,1361,1.0,0.0,Summer
Georgia,Calair,Unknown,"Carterville, GA  - Montgomery, AL",Dassault Falcon 20,N125CA,208,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"Unable to gain altitude the positioning flight struck powerlines and crashed. Failure of the pilot-in-command  to assure that the aircraft maintained a climb profile after takeoff. Factors related to the accident were: dark night, the crew's lack of visual perception at night, the PIC's lack of rest (fatigue) and the copilot's failure to attain remedial action.",6,1989,Overnight,183,561,965,762,1.0,0.0,Summer
Maryland,Air Taxi - Centre Airlines Inc.,Unknown,"Baltimore, MD - Winchester, VA",Beech E18S,N138JR,,5.0,4.0,1.0,2.0,2.0,0.0,0.0,"Shortly after departing from runway 15l at the Baltimore-Washington International Airport, the pilot transmitted that he had an emergency consisting of a fire under his side panel. He reported he was going to circle & land. According to witnesses, flames & smoke were in the cockpit area. The aircraft started a gradual descent during a left turn. Subsequently, it crashed into a house.",7,1989,Morning,277,261,277,324,0.4,0.6,Summer
USSR,Aeroflot,Unknown,Observation flight out of Cape Schmidt,Antonov AN-26,CCCP-26685,8805,10.0,6.0,4.0,10.0,6.0,4.0,0.0,Crashed into costal cliffs while on an ice observation flight.,7,1989,Morning,506,90,160,2570,1.0,0.0,Summer
Iowa,United Air Lines,232,"Denver, CO - Chicago, IL",McDonnell Douglas DC-10-10,N1819U,46618/118,298.0,287.0,11.0,112.0,111.0,1.0,0.0,"Catastrophic failure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage. The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulic systems. The  failure was traced back to a manufacturing defect in the fan disk, which had microscopic cracks due to impurities. Subject of the 1992 TV-movie ""Crash Landing: The Rescue of Flight 232.""",7,1989,Afternoon,227,2038,1837,1055,0.37583892617449666,0.6241610738255033,Summer
New Guinea,Talair,Unknown,Porega-Port Moresby,de Havilland Canada DHC-6 Twin Otter 300,P2-RDW,366,22.0,20.0,2.0,3.0,1.0,2.0,0.0,Crashed into jungle shortly after taking off.,7,1989,Unknown,327,1901,2385,2786,0.13636363636363635,0.8636363636363636,Summer
Philippines,Philippine Air Lines,Unknown,Zamboanga - Manila,BAC One-Eleven 516FP,RP-C1193,231,98.0,91.0,7.0,1.0,1.0,0.0,8.0,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.",7,1989,Afternoon,411,1538,254,3781,0.01020408163265306,0.9897959183673469,Summer
Afghanistan,Military - Afghan,Unknown,Unknown,Mil Mi-8 / Mil Mi-8,Unknown,,30.0,,,30.0,,,0.0,Mid-air collision between two helicopters.,7,1989,Unknown,33,1231,1910,3613,1.0,0.0,Summer
Angola,Military - Angolan,Unknown,Luena - Cazombo,Antonov AN-26,Unknown,,48.0,44.0,4.0,42.0,,,0.0,Shot down either by rebel forces or friendly fire. A missile struck one of the engines and the plane crashed while attempting an emergency landing.,7,1989,Unknown,47,1233,160,1995,0.875,0.125,Summer
South Korea,Universal Airlines,Unknown,Unknown,Sikorsky S-58T,Unknown,,19.0,,,13.0,,,0.0,Crashed into the sea.,7,1989,Unknown,461,2052,2101,3613,0.6842105263157895,0.3157894736842105,Summer
Libya,Korean Airlines,803,Jeddah - Tripoli,McDonnell Douglas DC-10-30,HL-7328,47887/125,199.0,181.0,18.0,75.0,72.0,3.0,4.0,The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.,7,1989,Morning,259,1062,1838,1538,0.3768844221105528,0.6231155778894473,Summer
New Zealand,Air Freight New Zealand,1,Auckland - Christchurch,Convair CV-580,ZK-FTB,180,3.0,0.0,3.0,3.0,0.0,3.0,0.0,The cargo lost altitude shortly after lifting off and crashed and broke up in  Manukau Harbor. The training captain's failure to monitor the aircraft's climb flight path during the critical stage of the climb after take-off.,7,1989,Night,333,199,896,281,1.0,0.0,Summer
Greece,Olympic Aviation,Unknown,Thessaloniki - Samos,Shorts 330-200,SX-BGE,SH-3083,34.0,31.0,3.0,34.0,31.0,3.0,0.0,Crashed into Mt. Kerkis in poor weather after deviating from course on approach. The crew was flying VFR in IFR conditons. The aircraft was named Isle of Minos.,8,1989,Afternoon,189,1453,2066,3485,1.0,0.0,Summer
Ethiopia,RRC Air Service,Unknown,Addis Ababa - Bole,de Havilland DHC-6 Twin Otter 300,ET-AIL,699,16.0,13.0,3.0,16.0,13.0,3.0,0.0,"The aircraft took off from Addis Ababa to see how much food was reaching the famine-stricken area of western Ethiopia.  The plane crashed into a mountain in poor weather conditons at an altitude of  3,600 feet.  The crew flew into an area of bad weather at a very low altitude and failed to maintain visual contact with the ground.  U.S. Representative George Thomas ""Mickey"" Leland, 45, killed.",8,1989,Afternoon,167,1601,2436,108,1.0,0.0,Summer
New Zealand,Aspring Air,Unknown,Wanaka - Milford Sound,Britten-Norman BN-2A-26 Trislander,ZK-EVK,0583,10.0,9.0,1.0,10.0,9.0,1.0,0.0,Crashed into the face of a mountain. Undetermined.,8,1989,Morning,333,403,722,3703,1.0,0.0,Summer
Mississippi,Private,Unknown,"Hattiesburg, MS - Gulfport, MS",Cessna 177RG,N1976Q,177RG-0376,2.0,1.0,1.0,2.0,1.0,1.0,0.0,"The aircraft was flying from Hattiesburg to Gulfport. The non-instrument rated pilot lost control of the aircraft after encountering instrument meteorological conditions resulting in the airplane spiraling into the ground in a wooded area.  U.S. Representative from Mississippi, Larkin Smith, 45, was killed.",8,1989,Night,292,1560,804,1365,1.0,0.0,Summer
China,China Eastern Airlines,Unknown,Shanghai - Hongqiao,Antonov AN-24RV,B-3417,37309006,40.0,34.0,6.0,34.0,28.0,6.0,0.0,Lost power and crashed into a river shortly after taking off from Shanghai.,8,1989,Unknown,118,629,157,3213,0.85,0.15000000000000002,Summer
Pakistan,Pakistan International Airlines,Unknown,Gilgit - Islamabad - Chaklala,Fokker F-27 Friendship 200,AP-BBF,10207,54.0,49.0,5.0,54.0,49.0,5.0,0.0,Crashed into Himalaya Mountains en route from Gilgit to Islamabad.,8,1989,Morning,400,1485,1343,1269,1.0,0.0,Summer
Brazil,Varig,254,Maraba - Belem,Boeing B-737-241,PP-VMK,21006/398,54.0,48.0,6.0,13.0,13.0,0.0,0.0,"A series of navigation errors led to the aircraft running out of fuel and crashing into the jungle. The crew was working with a filight plan that showed the course in tenths of a degree  instead of in the usual whole degrees. When the flight plan indicated 0270 degrees, the crew should have been flying at 027 degrees. Instead they flew at 270 degrees (west).Therefore, the crew flew in  the wrong direction, even though Belem was north of Maraba and the sun was setting right in front of them. Then they assumed they had overshot Belem and flew straight back east. Then they began following a river which they assumed was the Amazon which would lead them to Belem, but it was the Xingu river. Finally, they  tuned in a radio station and homed in on it assuming it was a Belem station, which it wasn't.",9,1989,Night,90,2072,542,2107,0.24074074074074073,0.7592592592592593,Fall
Cuba,Cubana de Aviacion,9646,"Havana - Köln, Bonn",Ilyushin IL-62M,CU-T1281,3850453,126.0,115.0,11.0,126.0,115.0,11.0,45.0,The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision of the pilot in command  to fly after an abrupt deterioration in weather conditions.,9,1989,Night,134,692,1546,1367,1.0,0.0,Fall
Denmark,Partnair,394,Oslo - Hamburg,Convair CV-580,LN-PAA,056,55.0,50.0,5.0,55.0,50.0,5.0,0.0,"The aircraft crashed into the sea after an in-flight breakup. Severe vibration caused by worn bolts causing the rudder to jam and the tail to collapse. Bolts used to attach the fin to the fuselage were found to be counterfeit and wore much faster that genuine bolts.  Official PC: The accident was caused by loss of control due to the destruction of primary control surfaces in the tail section, which, in turn, was caused by aeroelastic oscillations initiated by abnormal clearances in the vertical stabilizer attachments to the fuselage structure. The condition of the attachments was a result of excessive wear in pins and sleeves used in this structural joint. The pins and sleeves were of an inferior quality and did not satisfy specified values for hardness and tensile strength. They had also been installed and inspected using sub-standard maintenance procedures. Undamped oscillations in the elevator contributed to the structural failure of the empennage.""",9,1989,Afternoon,147,1512,896,2606,1.0,0.0,Fall
Kentucky,Wehite Cap Aviation,Unknown,"Orlando, FL - Mayfield, KY",Beech King Air B100,N887PE,B-049,6.0,5.0,1.0,6.0,5.0,1.0,0.0,"Crashed into trees while attempting to land at night, in fog. Improper IFR procedures and failure to maintain minimum descent altitude.",9,1989,Night,244,2104,280,2603,1.0,0.0,Fall
Indonesia,Merpati Nusantara Airlines,Unknown,Manokwari - Bentuni,de Havilland Canada DHC-6 Twin Otter 300,PK-NUE,345,22.0,19.0,3.0,22.0,19.0,3.0,0.0,Crashed while making an approach to Bintuni.,9,1989,Unknown,225,1215,2385,2100,1.0,0.0,Fall
Niger,Union des Transportes Aeriens,772,N'Djamena - Paris,McDonnell Douglas DC-10-30,N54629,46852/125,171.0,156.0,15.0,171.0,156.0,15.0,0.0,"While climbing through FL 350, 46 minutes after takeoff, a bomb exploded in a container in location 13-R in the forward cargo hold. The aircraft disintegrated and crashed into the desert. A Congolese man, who boarded at Brazzaville and disembarked at Ndjamena was believed to have brought the bomb aboard.",9,1989,Afternoon,336,2035,1838,2390,1.0,0.0,Fall
